I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
4,14,9,-9,-2,12,87,146,117,43,4,-53
19,19,0,-19,9,9,92,161,131,58,9,-48
24,29,4,-26,9,17,97,170,136,63,14,-43
24,34,9,-29,7,21,97,180,146,73,19,-34
9,29,19,-19,-4,24,92,185,156,78,14,-34
14,29,14,-21,0,21,92,195,165,82,19,-34
9,29,19,-19,-4,24,92,204,175,92,24,-34
4,24,19,-14,-7,21,97,214,185,102,29,-29
19,39,19,-29,0,29,107,234,209,126,43,-9
34,43,9,-39,12,26,112,244,224,136,53,-9
39,48,9,-43,14,29,112,253,229,136,68,-4
39,48,9,-43,14,29,112,263,244,151,78,0
29,58,29,-43,0,43,117,268,248,156,73,-4
39,63,24,-51,7,43,122,278,258,165,78,-4
48,68,19,-58,14,43,122,287,273,175,82,-4
48,68,19,-58,14,43,122,302,287,185,92,4
39,68,29,-53,4,48,112,307,297,185,92,4
43,78,34,-61,4,56,117,317,307,200,97,9
43,82,39,-63,2,61,117,326,326,209,107,14
48,82,34,-65,7,58,126,336,341,219,112,19
48,102,53,-75,-2,78,126,351,356,229,131,24
53,102,48,-78,2,75,126,361,370,239,136,24
58,102,43,-80,7,73,126,380,380,248,141,29
58,107,48,-82,4,78,131,395,395,263,151,34
63,107,43,-85,9,75,131,395,409,278,151,39
68,112,43,-90,12,78,131,409,429,292,161,43
78,112,34,-95,21,73,141,419,439,302,175,53
92,122,29,-107,31,75,141,434,453,317,185,68
97,117,19,-107,39,68,141,448,463,326,180,63
102,117,14,-109,43,65,141,448,473,331,190,63
102,122,19,-112,41,70,141,458,488,336,190,68
112,126,14,-119,48,70,141,468,502,351,195,73
112,136,24,-124,43,80,141,478,507,361,209,82
117,146,29,-131,43,87,141,488,512,366,214,82
117,156,39,-136,39,97,141,492,527,370,224,82
126,165,39,-146,43,102,136,497,531,380,229,82
126,165,39,-146,43,102,146,497,551,395,229,97
126,165,39,-146,43,102,146,502,561,405,234,102
131,165,34,-148,48,100,146,512,566,409,239,107
136,170,34,-153,51,102,146,512,575,414,244,112
156,175,19,-165,68,97,136,522,585,419,248,107
156,185,29,-170,63,107,136,522,585,424,258,112
161,190,29,-175,65,109,131,517,580,429,258,117
161,190,29,-175,65,109,131,512,580,429,263,117
161,200,39,-180,61,119,131,512,580,429,273,122
165,204,39,-185,63,122,122,507,580,429,268,122
165,209,43,-187,61,126,122,492,570,419,263,117
165,209,43,-187,61,126,112,483,566,419,263,117
170,204,34,-187,68,119,117,473,561,419,263,122
170,200,29,-185,70,114,112,458,551,419,263,122
170,200,29,-185,70,114,102,444,531,405,263,131
175,200,24,-187,75,112,92,424,522,395,263,131
170,195,24,-183,73,109,87,419,507,395,263,131
170,190,19,-180,75,104,82,400,483,385,263,131
170,170,0,-170,85,85,73,375,463,370,248,131
165,161,-4,-163,85,78,68,351,439,356,244,126
175,165,-9,-170,92,78,43,331,424,322,234,136
175,165,-9,-170,92,78,34,307,405,312,219,126
165,165,0,-165,82,82,24,287,385,297,214,122
165,156,-9,-161,87,73,24,268,361,287,204,117
170,161,-9,-165,90,75,9,239,326,268,185,112
165,156,-9,-161,87,73,4,219,302,248,170,102
161,151,-9,-156,85,70,0,195,273,234,170,102
156,151,-4,-153,80,73,0,185,248,214,161,97
146,141,-4,-143,75,68,-4,165,234,204,161,92
141,131,-9,-136,75,61,-4,151,219,190,151,92
126,122,-4,-124,65,58,-9,131,200,175,141,87
102,112,9,-107,46,61,-14,117,180,156,131,78
102,112,9,-107,46,61,-14,92,170,141,131,82
97,107,9,-102,43,58,-14,73,151,131,126,82
97,107,9,-102,43,58,-19,63,131,117,122,73
92,92,0,-92,46,46,-24,53,122,102,112,68
78,87,9,-82,34,48,-24,39,92,82,97,58
78,87,9,-82,34,48,-24,29,78,73,87,48
73,87,14,-80,29,51,-24,19,68,68,78,43
63,78,14,-70,24,46,-19,9,53,53,78,34
48,63,14,-56,17,39,-19,0,43,48,78,39
48,48,0,-48,24,24,-19,0,34,39,73,34
39,43,4,-41,17,24,-19,-14,24,29,63,29
39,34,-4,-36,21,14,-19,-14,14,19,48,24
34,43,9,-39,12,26,-19,-34,4,4,39,19
34,43,9,-39,12,26,-19,-34,0,0,29,14
29,34,4,-31,12,19,-14,-39,0,-9,29,14
19,34,14,-26,2,24,-14,-43,-4,-14,24,4
29,43,14,-36,7,29,-24,-58,-24,-34,4,-9
24,34,9,-29,7,21,-24,-58,-24,-43,0,-9
14,29,14,-21,0,21,-24,-63,-34,-43,-4,-14
9,29,19,-19,-4,24,-24,-63,-39,-48,-4,-14
19,29,9,-24,4,19,-24,-63,-48,-48,-9,-19
19,29,9,-24,4,19,-24,-63,-48,-48,-9,-19
14,39,24,-26,-4,31,-24,-68,-53,-48,-9,-24
14,39,24,-26,-4,31,-24,-68,-58,-58,-19,-29
4,34,29,-19,-12,31,-24,-73,-63,-58,-19,-39
4,34,29,-19,-12,31,-24,-73,-63,-63,-24,-39
4,34,29,-19,-12,31,-24,-73,-63,-68,-29,-43
4,34,29,-19,-12,31,-19,-73,-68,-68,-29,-43
0,34,34,-17,-17,34,-9,-63,-68,-68,-29,-43
-4,34,39,-14,-21,36,-9,-63,-63,-68,-29,-43
-4,29,34,-12,-19,31,-9,-63,-58,-68,-29,-43
-9,29,39,-9,-24,34,-9,-63,-58,-68,-34,-43
-9,19,29,-4,-19,24,-19,-63,-48,-68,-34,-43
-9,19,29,-4,-19,24,-19,-63,-53,-73,-34,-48
-19,19,39,0,-29,29,-19,-63,-58,-78,-43,-48
-24,14,39,4,-31,26,-14,-58,-63,-78,-43,-48
-24,14,39,4,-31,26,-4,-68,-53,-68,-39,-39
-29,19,48,4,-39,34,-9,-68,-53,-68,-39,-43
-29,19,48,4,-39,34,-9,-68,-53,-68,-43,-43
-29,9,39,9,-34,24,-9,-68,-53,-68,-43,-39
-24,19,43,2,-34,31,-9,-68,-58,-68,-43,-39
-24,24,48,0,-36,36,-9,-68,-58,-68,-43,-39
-19,24,43,-2,-31,34,-9,-68,-58,-68,-43,-48
-19,19,39,0,-29,29,-9,-68,-58,-73,-43,-48
-29,24,53,2,-41,39,-4,-53,-58,-73,-39,-43
-29,14,43,7,-36,29,0,-53,-58,-73,-39,-43
-29,24,53,2,-41,39,0,-53,-58,-73,-39,-48
-29,24,53,2,-41,39,0,-53,-58,-73,-39,-48
-29,24,53,2,-41,39,0,-48,-48,-73,-39,-48
-29,24,53,2,-41,39,0,-48,-48,-73,-39,-48
-29,19,48,4,-39,34,0,-48,-48,-73,-39,-48
-29,19,48,4,-39,34,0,-48,-48,-63,-39,-48
-34,19,53,7,-43,36,4,-58,-48,-63,-39,-43
-34,19,53,7,-43,36,4,-53,-48,-63,-39,-43
-29,24,53,2,-41,39,4,-53,-48,-68,-39,-43
-29,24,53,2,-41,39,4,-53,-48,-68,-39,-43
-29,24,53,2,-41,39,0,-53,-58,-68,-39,-48
-29,24,53,2,-41,39,0,-53,-58,-68,-39,-48
-29,24,53,2,-41,39,4,-53,-58,-68,-39,-48
-29,24,53,2,-41,39,4,-48,-53,-68,-39,-48
-19,14,34,2,-26,24,4,-48,-53,-68,-29,-48
-19,14,34,2,-26,24,4,-53,-53,-68,-34,-48
-24,14,39,4,-31,26,4,-53,-53,-68,-34,-48
-24,4,29,9,-26,17,4,-53,-53,-68,-34,-53
-29,-4,24,17,-26,9,4,-43,-53,-68,-34,-43
-29,-4,24,17,-26,9,4,-43,-53,-68,-34,-43
-19,-4,14,12,-17,4,4,-43,-53,-68,-34,-43
-19,0,19,9,-19,9,4,-43,-53,-68,-34,-43
-19,9,29,4,-24,19,-4,-53,-53,-68,-43,-53
-19,19,39,0,-29,29,0,-53,-53,-68,-43,-53
-19,24,43,-2,-31,34,0,-53,-53,-68,-43,-53
-19,24,43,-2,-31,34,-4,-53,-58,-68,-43,-48
-19,14,34,2,-26,24,4,-53,-58,-78,-43,-48
-19,14,34,2,-26,24,4,-53,-53,-78,-43,-48
-14,14,29,0,-21,21,4,-53,-53,-73,-43,-48
-14,14,29,0,-21,21,4,-53,-58,-73,-43,-48
-24,19,43,2,-34,31,-4,-53,-58,-73,-43,-58
-24,24,48,0,-36,36,-4,-53,-58,-73,-43,-58
-19,24,43,-2,-31,34,-4,-53,-63,-82,-48,-58
-19,29,48,-4,-34,39,-9,-58,-63,-82,-48,-63
-14,24,39,-4,-26,31,-4,-58,-63,-73,-39,-53
-14,24,39,-4,-26,31,-4,-58,-68,-78,-39,-53
-14,24,39,-4,-26,31,0,-63,-68,-78,-39,-58
-14,24,39,-4,-26,31,0,-63,-68,-78,-43,-58
-14,24,39,-4,-26,31,-9,-68,-73,-78,-53,-58
-4,24,29,-9,-17,26,-9,-68,-73,-82,-53,-58
-4,24,29,-9,-17,26,-9,-68,-73,-82,-53,-58
-14,19,34,-2,-24,26,-9,-73,-73,-82,-53,-58
-14,9,24,2,-19,17,-14,-78,-78,-92,-58,-68
-9,14,24,-2,-17,19,-14,-78,-78,-97,-58,-68
-4,14,19,-4,-12,17,-14,-78,-78,-97,-58,-68
-4,9,14,-2,-9,12,-19,-78,-78,-97,-63,-68
-9,9,19,0,-14,14,-9,-68,-78,-97,-63,-58
-14,9,24,2,-19,17,-9,-68,-78,-97,-63,-63
-19,9,29,4,-24,19,-9,-73,-78,-102,-63,-63
-24,9,34,7,-29,21,-9,-78,-82,-102,-63,-63
-14,9,24,2,-19,17,-19,-87,-92,-102,-68,-63
-14,14,29,0,-21,21,-19,-87,-92,-102,-68,-63
-14,14,29,0,-21,21,-14,-82,-87,-102,-63,-58
-14,4,19,4,-17,12,-14,-82,-87,-102,-63,-58
-14,0,14,7,-14,7,-14,-87,-87,-92,-63,-53
-14,4,19,4,-17,12,-14,-87,-92,-102,-68,-58
-14,19,34,-2,-24,26,-14,-87,-92,-102,-68,-58
-14,29,43,-7,-29,36,-19,-87,-92,-102,-68,-58
-14,19,34,-2,-24,26,-9,-87,-92,-102,-58,-58
-14,14,29,0,-21,21,-9,-87,-92,-102,-58,-58
-19,14,34,2,-26,24,-9,-87,-92,-107,-58,-58
-19,14,34,2,-26,24,-9,-87,-87,-107,-58,-58
-24,14,39,4,-31,26,-9,-97,-97,-107,-68,-68
-24,14,39,4,-31,26,-9,-102,-102,-107,-73,-68
-24,14,39,4,-31,26,-9,-102,-102,-102,-73,-68
-24,9,34,7,-29,21,-9,-97,-102,-102,-73,-73
-24,9,34,7,-29,21,-19,-87,-97,-112,-63,-63
-24,9,34,7,-29,21,-14,-87,-97,-112,-63,-63
-24,9,34,7,-29,21,-14,-87,-97,-112,-68,-63
-24,9,34,7,-29,21,-14,-87,-97,-112,-68,-63
-24,24,48,0,-36,36,-24,-97,-107,-126,-73,-68
-19,24,43,-2,-31,34,-29,-102,-107,-126,-78,-73
-19,19,39,0,-29,29,-29,-107,-107,-126,-82,-78
-24,19,43,2,-34,31,-29,-112,-107,-131,-87,-82
-14,14,29,0,-21,21,-24,-102,-117,-131,-87,-82
-14,14,29,0,-21,21,-24,-102,-117,-131,-87,-87
